the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
0101000020E610000008914E55C8CF52C085C05F06C2F34340,3306206,0101000020110F00000D956C5D17F45FC10A713E6A55825241,16331866,12,1,2024-10-21 19:09:00+00,5/5/24,7:26:00,7,2.02E+11,7800 BLOCK CENTAUR PL,700,Motor Vehicle Theft,-75.24660237,39.90435867,39.90435867,-75.24660237
0101000020E61000000FF4CCA222CB52C0506CAA93D8F44340,3306207,0101000020110F0000D8085C8B32EC5FC18AB50ED489835241,16332315,1,2,2024-10-21 19:15:00+00,5/11/24,11:28:00,11,2.02E+11,3000 BLOCK S 15TH ST,700,Motor Vehicle Theft,-75.17398901,39.9128594,39.9128594,-75.17398901
0101000020E6100000CCC400CBC2CA52C09811203BD6F94340,3306208,0101000020110F00003C9AD6BE8FEB5FC1D333D1F010895241,16362078,9,4,2024-10-21 19:20:00+00,5/17/24,16:05:00,16,2.02E+11,1600 BLOCK CHESTNUT ST,600,Thefts,-75.16813922,39.95185031,39.95185031,-75.16813922
0101000020E61000006B7E1DB42EC352C0CBF5B6990A074440,3306209,0101000020110F00003EE5F14EB0DE5FC1793647E3B4975241,16362093,2,3,2024-10-21 19:20:00+00,5/9/24,17:33:00,17,2.02E+11,7900 BLOCK E ROOSEVELT BLVD,600,Theft from Vehicle,-75.04972556,40.055011,40.055011,-75.04972556
0101000020E61000003BFC144B7AC352C00E96FB2E36084440,3306210,0101000020110F0000B65B82B430DF5FC1B8B9175201995241,16362952,7,1,2024-10-21 19:23:00+00,5/16/24,10:48:00,10,2.02E+11,8100 BLOCK CASTOR AV,600,Thefts,-75.05433919,40.06415355,40.06415355,-75.05433919
0101000020E6100000F1E9B99E0BCB52C0A42D5338A7F94340,3306211,0101000020110F0000EA0914730BEC5FC11BF893DBDC885241,16327977,9,3,2024-10-21 19:27:00+00,5/13/24,12:40:00,12,2.02E+11,1900 BLOCK WALNUT ST,2600,All Other Offenses,-75.17258423,39.95041565,39.95041565,-75.17258423
0101000020E61000005EB94161CECE52C016A5424403F94340,3306212,0101000020110F0000BE2B48CB6EF25FC15720523927885241,16328827,12,4,2024-10-21 19:27:00+00,4/29/24,5:48:00,5,2.02E+11,900 BLOCK S CONESTOGA ST,1400,Vandalism/Criminal Mischief,-75.23134643,39.94541219,39.94541219,-75.23134643
0101000020E61000007A315A68A3CB52C0DBDA673A60054440,3306213,0101000020110F0000DC97AA460DED5FC1433D07D7DB955241,16329700,14,3,2024-10-21 19:28:00+00,4/30/24,15:20:00,15,2.02E+11,0 BLOCK W WASHINGTON LA,800,Other Assaults,-75.18184861,40.04199915,40.04199915,-75.18184861
0101000020E610000086D9576080CA52C0786F98AAACFF4340,3306214,0101000020110F0000B80E1CEE1EEB5FC1AB78592E898F5241,16330139,39,3,2024-10-21 19:37:00+00,5/18/24,9:57:00,9,2.02E+11,2800 BLOCK N WOODSTOCK ST,700,Motor Vehicle Theft,-75.16408547,39.99745686,39.99745686,-75.16408547
0101000020E6100000581CCEFC2AC752C0F76D0C2ABFFD4340,3306215,0101000020110F0000EB1C035D75E55FC101F8D81F668D5241,16330576,24,3,2024-10-21 19:38:00+00,5/11/24,21:10:00,21,2.02E+11,2500 BLOCK E CAMBRIA ST,700,Motor Vehicle Theft,-75.11199875,39.98239637,39.98239637,-75.11199875
0101000020E61000001327F73BD4C852C0048F2DD348FB4340,3306216,0101000020110F0000E3710BB047E85FC1E253718EAB8A5241,16330577,26,3,2024-10-21 19:39:00+00,5/5/24,21:07:00,21,2.02E+11,900 BLOCK N FRONT ST,700,Motor Vehicle Theft,-75.13795375,39.96315994,39.96315994,-75.13795375
0101000020E61000004E05602C21CB52C08C118942CBF64340,3306217,0101000020110F0000D42E5C0F30EC5FC1F68E2911B2855241,16332331,1,1,2024-10-21 19:41:00+00,4/30/24,7:41:00,7,2.02E+11,1800 BLOCK S 17TH ST,700,Motor Vehicle Theft,-75.17389974,39.928078,39.928078,-75.17389974
0101000020E610000014E99F5C2ACA52C0CA45E7C269FC4340,3306218,0101000020110F00007AE266D38CEA5FC15E7545BEEB8B5241,16362128,22,3,2024-10-21 19:47:00+00,5/18/24,0:43:00,0,2.02E+11,1200 BLOCK N BROAD ST,600,Thefts,-75.15883556,39.97197758,39.97197758,-75.15883556
0101000020E61000007986994BE4CD52C0B529AAC0C1FA4340,3306219,0101000020110F000016F2852DE1F05FC1DD90A8E3158A5241,16363490,16,2,2024-10-21 19:48:00+00,4/30/24,17:26:00,17,2.02E+11,4800 BLOCK MARKET ST,600,Thefts,-75.21705904,39.95903786,39.95903786,-75.21705904
0101000020E6100000C0724A611ACA52C07125B7FD5D064440,3306220,0101000020110F00001913DCAD71EA5FC147942C5FF5965241,16328011,35,3,2024-10-21 19:52:00+00,5/10/24,17:47:00,17,2.02E+11,6200 BLOCK E WISTER ST,800,Other Assaults,-75.15786011,40.04974339,40.04974338,-75.15786011
0101000020E6100000784ECCDD1BC952C0392583501C044440,3306221,0101000020110F0000C7E0B25CC1E85FC138BD028774945241,16329310,35,2,2024-10-21 19:54:00+00,5/15/24,13:05:00,13,2.02E+11,1100 BLOCK WINDRIM AV,800,Other Assaults,-75.14232583,40.03211409,40.03211409,-75.14232583
