cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,lat,lng
3240699,0101000020110F0000348F4F0ED9E85FC13632AC19058C5241,18395583,26,2,2024-07-01 19:37:00+00,7/1/24,15:37:00,15,2.02E+11,400 BLOCK MASTER ST,600,Thefts,39.97267584,-75.14317721
3240715,0101000020110F0000366C905E9EEF5FC12BC0365A768B5241,18181040,16,2,2024-07-01 06:35:00+00,7/1/24,2:35:00,2,2.02E+11,800 BLOCK N 41ST ST,300,Robbery No Firearm,39.96874488,-75.20545969
3240937,0101000020110F0000F516DFDDE1EB5FC1AF9D29D304935241,18015611,39,1,2024-07-01 20:38:00+00,7/1/24,16:38:00,16,2.02E+11,5000 BLOCK MC KEAN AV,1100,Fraud,40.02199673,-75.17109005
3241135,0101000020110F0000204A27592EE75FC1B68892D920945241,18181331,35,2,2024-07-02 00:46:00+00,7/1/24,20:46:00,20,2.02E+11,5200 BLOCK N AMERICAN ST,600,Theft from Vehicle,40.02981183,-75.12784449
3241167,0101000020110F00007FAA5A185EE75FC139AB8FC4C68B5241,17835901,26,3,2024-07-01 22:14:00+00,7/1/24,18:14:00,18,2.02E+11,400 BLOCK E FLORA ST,500,Burglary Residential,39.97095937,-75.12956016
3241187,0101000020110F0000EFC591C354EB5FC114FFA07CE89A5241,18016609,14,4,2024-07-01 16:37:00+00,7/1/24,12:37:00,12,2.02E+11,2800 BLOCK W CHELTENHAM AV,800,Other Assaults,40.07754935,-75.16601986
3241324,0101000020110F00000DB26CC2B4EB5FC10FDB029401865241,17955179,17,3,2024-07-01 16:53:00+00,7/1/24,12:53:00,12,2.02E+11,1600 BLOCK S CARLISLE ST,2000,Offenses Against Family and Children,39.93026889,-75.16946923
3241835,0101000020110F0000ABE74E32DBF45FC1921264DA058C5241,18253359,19,1,2024-07-01 13:57:00+00,7/1/24,9:57:00,9,2.02E+11,6700 BLOCK HAVERFORD AV,600,Thefts,39.97269657,-75.25363911
3241878,0101000020110F00004ADC07166CEE5FC15538BDF77E825241,18180330,1,2,2024-07-02 01:11:00+00,7/1/24,21:11:00,21,2.02E+11,2600 BLOCK PENROSE AV,600,Thefts,39.90550404,-75.19445413
3241950,0101000020110F000036076BA097E55FC1B4095F3D9A8D5241,17835774,24,3,2024-07-01 15:35:00+00,7/1/24,11:35:00,11,2.02E+11,2400 BLOCK E CAMBRIA ST,500,Burglary Non-Residential,39.98383125,-75.11322992
3241954,0101000020110F00003B62A5935FDF5FC15F134A362A945241,18180610,15,2,2024-07-02 03:06:00+00,7/1/24,23:06:00,23,2.02E+11,6500 BLOCK FRANKFORD AV,600,Thefts,40.03006942,-75.05602341
3242091,0101000020110F000066E59FD61EE05FC16375696EFE965241,18107990,2,3,2024-07-01 13:00:00+00,7/1/24,9:00:00,8,2.02E+11,2100 BLOCK COTTMAN AV,600,Thefts,40.04999257,-75.06289594
3242319,0101000020110F0000623D8BCF38DC5FC16F1ED57CF99A5241,18108690,8,2,2024-07-01 21:22:00+00,7/1/24,17:22:00,17,2.02E+11,2500 BLOCK GRANT AV,600,Thefts,40.07801678,-75.0270342
3242705,0101000020110F0000B7B91A51AEEA5FC1E77C3922D08C5241,18043062,22,3,2024-07-01 21:56:00+00,7/1/24,17:56:00,17,2.02E+11,1600 BLOCK N 15TH ST,600,Thefts,39.97826654,-75.16003898
3242730,0101000020110F0000BF42E905B9ED5FC1E1BD31CD11875241,18356528,17,2,2024-07-01 19:20:00+00,7/1/24,15:20:00,15,2.02E+11,2600 BLOCK OAKFORD ST,600,Thefts,39.93776934,-75.18801993
3243267,0101000020110F0000898610696EEE5FC130BBE59412915241,17990620,39,1,2024-07-02 01:37:00+00,7/1/24,21:37:00,21,2.02E+11,MIDVALE AV  & KELLY DR,700,Motor Vehicle Theft,40.00828514,-75.19453765
3243302,0101000020110F00002044B9FAB2E95FC1222C25DCAE965241,17990753,35,3,2024-07-02 00:43:00+00,7/1/24,20:43:00,20,2.02E+11,1900 BLOCK SPARKS ST,700,Motor Vehicle Theft,40.04780386,-75.15100777
3243314,0101000020110F00009C3D0DD6FDE85FC16A3460C3E0925241,18091571,35,2,2024-07-01 17:29:00+00,7/1/24,13:29:00,13,2.02E+11,1100 BLOCK W WINGOHOCKING ST,2600,All Other Offenses,40.02100441,-75.14449882
3243360,0101000020110F00002E9119DA86ED5FC1E5F2583A5E845241,18181859,1,2,2024-07-01 15:26:00+00,7/1/24,11:26:00,11,2.02E+11,2300 BLOCK OREGON AV,600,Thefts,39.91871311,-75.18621715
3243541,0101000020110F00006FC59241E8EB5FC100716233EA8D5241,18017490,22,2,2024-07-01 07:21:00+00,7/1/24,3:21:00,3,2.02E+11,2000 BLOCK N 23RD ST,1400,Vandalism/Criminal Mischief,39.98603274,-75.17131964
3243573,0101000020110F0000B3202F84D9F25FC1F2D41A23D8835241,17836850,12,1,2024-07-01 20:51:00+00,7/1/24,16:51:00,16,2.02E+11,2600 BLOCK S 70TH ST,500,Burglary Residential,39.91501764,-75.23518124
3243593,0101000020110F00005A4289A28BE95FC141F02BC6158B5241,18235823,9,2,2024-07-01 16:21:00+00,7/1/24,12:21:00,12,2.02E+11,800 BLOCK N FRANKLIN ST,800,Other Assaults,39.9660852,-75.14959402
3243813,0101000020110F000024FF2B5CA2DE5FC11DA44A740F935241,18446423,15,2,2024-07-01 20:23:00+00,7/1/24,16:23:00,16,2.02E+11,6500 BLOCK VANDIKE ST,800,Other Assaults,40.02228922,-75.04922436
3243945,0101000020110F00002F3C52FC69DE5FC1D7EC6DE8CF935241,18396888,15,2,2024-07-02 01:20:00+00,7/1/24,21:20:00,21,2.02E+11,4400 BLOCK KNORR ST,600,Thefts,40.02758476,-75.04719868
3244208,0101000020110F00000E5C633711F15FC14FAAC9ED93875241,18017862,12,4,2024-07-02 00:53:00+00,7/1/24,20:53:00,20,2.02E+11,5100 BLOCK REGENT ST,800,Other Assaults,39.94135439,-75.21878519
3244470,0101000020110F000016BFA99D36E55FC14F20D8FFB1945241,18235364,2,2,2024-07-02 00:54:00+00,7/1/24,20:54:00,20,2.02E+11,600 BLOCK GARLAND ST,800,Other Assaults,40.03380535,-75.10974407
3244584,0101000020110F0000AD20B39CD9EC5FC1056ECB5FD5855241,18235070,1,1,2024-07-01 15:22:00+00,7/1/24,11:22:00,11,2.02E+11,2000 BLOCK MC CLELLAN ST,1100,Fraud,39.92905088,-75.17999219
3244686,0101000020110F0000E670462AB4E75FC1777AAA5052945241,18091822,35,2,2024-07-01 22:13:00+00,7/1/24,18:13:00,18,2.02E+11,5200 BLOCK N FAIRHILL ST,800,Other Assaults,40.0311728,-75.13265288
3244748,0101000020110F00008DA3DEC60EF25FC105253E6774895241,18396421,18,2,2024-07-01 16:22:00+00,7/1/24,12:22:00,12,2.02E+11,5200 BLOCK SPRUCE ST,500,Burglary Residential,39.95458999,-75.22789628
3244752,0101000020110F0000A271C918D5E85FC1D90B6FD9558C5241,17836360,26,2,2024-07-01 16:21:00+00,7/1/24,12:21:00,12,2.02E+11,1500 BLOCK N LAWRENCE ST,600,Theft from Vehicle,39.97489939,-75.14303495
3244918,0101000020110F0000FE151F2CC6D75FC1279F104E9AA05241,17872260,7,3,2024-07-01 12:40:00+00,7/1/24,8:40:00,8,2.02E+11,15000 BLOCK E ROOSEVELT BLVD,500,Burglary Non-Residential,40.11761981,-74.98611995
